i_consigneeName,i_consigneeTel,i_consigneeAddr,i_pId,i_pName,i_amount,i_orderDate,i_sId,i_tId
이영희,010-5665-7517,진주시 초장동,11,사료,1,2018-12-16 16:58,30003,50003
송은오,010-2121-3123,과천시 과천동,1,건축의 탄생,2,2018-12-11 04:00,30003,50001
송은오,010-2121-3123,과천시 과천동,2,고려열전,1,2018-12-06 09:01,30003,50001
유지석,010-1166-7747,안동시 임동면,10,쿠션,1,2018-11-30 12:25,30003,50003
박명석,010-1234-8828,목포시 유달동,14,장난감,1,2018-11-24 11:25,30002,50004
하지훈,010-4321-5535,세종시 한솔동,16,크림,2,2018-11-12 09:25,30001,50002
하지훈,010-4321-5535,세종시 한솔동,17,립밤,2,2018-11-12 09:25,30001,50002
강호돈,010-3123-2444,세종시 아름동,22,아보카도,1,2018-10-29 14:59,30002,50002
강호돈,010-3123-2444,세종시 아름동,23,코코넛,1,2018-10-18 14:59,30002,50002
김해영,010-1188-5199,목포시 산정동,30,고데기,1,2018-10-07 18:25,30003,50004
이영주,010-8989-2171,목포시 상동,32,마사지기구,1,2018-09-19 09:34,30002,50004
김숙희,010-1212-0237,충주시 소태면,9,캔,2,2018-09-08 23:39,30002,50002
김숙희,010-1212-0237,충주시 소태면,8,가방,1,2018-09-08 23:39,30002,50002
신수경,010-1321-1217,충주시 문화동,22,아보카도,1,2018-09-03 22:52,30002,50002
신수경,010-1321-1217,충주시 문화동,24,용과,1,2018-08-27 22:52,30002,50002
강혜경,010-8881-9897,순천시 삼산동,31,헤어드라이기,1,2018-08-17 00:02,30001,50004
김라라,010-1111-2057,군포시 대야동,35,정수기,2,2018-07-14 15:31,30003,50001
김수일,010-5678-6867,거제시 거제면,5,스페인 데이,1,2018-07-07 23:25,30002,50003
장발장,010-1265-7577,상주시 사벌면,4,숨은 신발 찾기,1,2018-06-30 16:58,30003,50003
강인정,010-2121-1237,하남시 춘궁동,9,캔,2,2018-06-11 04:00,30003,50001
강인정,010-2121-1237,하남시 춘궁동,13,간식,4,2018-06-02 09:01,30003,50001
김수지,010-1168-7776,영천시 남부동,15,앰플,1,2018-05-20 12:25,30003,50003
지상조,010-1234-7728,순천시 덕연동,19,마스크,5,2018-05-06 11:25,30002,50004
이소란,010-4321-7432,대전시 변동,25,키위,2,2018-05-01 09:25,30001,50002
이소란,010-4321-7432,대전시 변동,26,레몬,2,2018-05-01 09:25,30001,50002
손하,010-3123-4729,대전시 내동,29,전기밥솥,1,2018-04-22 14:59,30002,50002
손하,010-3123-4729,대전시 내동,31,헤어드라이기,1,2018-04-22 14:59,30002,50002
유설하,010-1187-9155,익산시 평화동,6,프리다 칼로,1,2018-03-09 18:25,30003,50004
김정윤,010-8987-1155,익산시 마동,8,가방,1,2018-03-03 09:34,30002,50004
이모자,010-1217-1224,대전시 중리동,9,캔,2,2018-03-01 23:39,30002,50002
이모자,010-1217-1224,대전시 중리동,8,가방,1,2018-03-01 23:39,30002,50002
정송아,010-1371-1313,대전시 어은동,12,애견 패드,1,2018-02-21 22:52,30002,50002
정송아,010-1371-1313,대전시 어은동,13,간식,2,2018-02-15 22:52,30002,50002
이하리,010-8781-5799,김제시 성덕면,20,선크림,2,2018-01-27 00:02,30001,50004
이미지,010-1726-9876,양주시 남면,35,정수기,1,2018-01-20 15:31,30003,50001
하지순,010-7678-7807,밀양시 가곡동,28,오렌지,1,2018-01-03 23:25,30002,50003
