i_consigneeName,i_consigneeTel,i_consigneeAddr,i_pId,i_pName,i_amount,i_orderDate,i_sId,i_tId
홍길동,010-1111-2222,수원시 장안구 정자1동,2,고려열전,1,2019-04-28 13:00,30001,50001
홍길동,010-1111-2222,수원시 장안구 정자1동,3,대단한 스트레칭,2,2019-04-28 13:00,30001,50001
전우치,010-2222-3333,평택시 신평동,12,애견 패드,2,2019-04-29 14:25,30002,50001
허균,010-3333-4444,천안시 중앙동,15,앰플,4,2019-04-30 08:25,30003,50002
김철수,010-4444-5555,논산시 부창동,24,용과,4,2019-04-30 09:25,30003,50002
김철수,010-4444-5555,대전시 서구 월평동,26,레몬,5,2019-04-30 09:25,30003,50002
박철수,010-5555-6666,부산시 중구 대청동,21,토너,3,2019-04-30 09:25,30003,50003
박철수,010-5555-6666,대구시 수성구 지산1동,7,프리모 레비의 말,1,2019-04-30 16:25,30003,50003
홍영희,010-6666-7777,울산시 울주군 삼남면,32,마사지기구,2,2019-05-01 12:25,30003,50003
홍지수,010-7777-8888,목포시 삼학동,35,정수기,1,2019-05-02 08:25,30003,50004
김지영,010-8888-9999,여수시 삼산면,19,마스크,10,2019-05-02 08:25,30003,50004
김수현,010-9999-1111,순천시 매곡동,18,로션,2,2019-05-02 09:34,30003,50004
김수현,010-9999-1111,순천시 황전면,21,토너,2,2019-05-02 08:34,30003,50004
김수현,010-9999-1111,대전시 동구,21,토너,1,2019-05-02 09:39,30003,50002
박수현,010-1212-1212,대전시 유성구 궁동,19,마스크,3,2019-05-02 11:39,30003,50002
이수현,010-1313-1313,대전시 유성구 어은동,19,마스크,5,2019-05-03 09:12,30003,50002
